poseId,Timestamp,Mx,My,Mz
0,1314117937.426225,-0.118448,0.558181,-0.848896
1,1314118255.153194,-0.157598,0.610151,-0.874063
2,1314118383.976373,-0.192030,0.613440,-0.811343
3,1314118523.527972,-0.173955,0.621877,-0.771695
4,1314118613.377500,-0.153783,0.665987,-0.754894
5,1314118698.628945,-0.145123,0.708824,-0.733671
6,1314118783.378571,-0.106718,0.723295,-0.740686
7,1314118864.727896,-0.081618,0.726494,-0.746968
8,1314118947.201036,-0.091024,0.692992,-0.742350
9,1314119161.628102,-0.075002,0.660942,-0.744125
10,1314119274.401152,-0.082498,0.653538,-0.733640
11,1314119708.688172,-0.060038,0.652269,-0.736501
12,1314119811.438862,-0.041194,0.668811,-0.718942
13,1314119907.789043,-0.007997,0.670812,-0.725057
14,1314120012.087548,-0.014658,0.692450,-0.741487
15,1314120109.463647,-0.038678,0.733771,-0.761850
16,1314120210.663782,-0.027657,0.742330,-0.741494
17,1314120306.513378,0.014457,0.709779,-0.711060
18,1314120415.863858,0.020073,0.687562,-0.698494
19,1314120528.787138,0.035645,0.679317,-0.693537
20,1314120657.162313,0.111504,0.662089,-0.682550
21,1314120761.662323,0.147668,0.626841,-0.718003
22,1314120856.012077,0.117549,0.599795,-0.722534
23,1314120952.937019,0.112282,0.504973,-0.728073
24,1314121085.712074,0.087850,0.432776,-0.710879
25,1314121204.237166,0.064417,0.386489,-0.718024
26,1314121303.112212,-0.004922,0.398352,-0.797513
27,1314121422.687226,-0.053012,0.515702,-0.761821
28,1314121541.637220,-0.024431,0.487313,-0.724930
29,1314121645.612219,-0.054363,0.454717,-0.731751
30,1314121743.962421,-0.040169,0.453927,-0.715425
31,1314121857.912663,-0.020162,0.467921,-0.695233
32,1314122059.737084,-0.032715,0.493135,-0.689801
33,1314122143.737126,-0.001573,0.528701,-0.736717
34,1314122238.236720,-0.001872,0.515577,-0.750400
35,1314122350.961820,0.027199,0.535725,-0.741310
