poseId,Timestamp,gx,gy,gz
0,1314117937.426226,-0.020257,0.002510,-0.999789
1,1314118255.153196,-0.012391,-0.001132,-0.999920
2,1314118383.976374,-0.002581,-0.006048,-0.999978
3,1314118523.527973,0.002771,0.002424,-0.999992
4,1314118613.377503,-0.004510,0.000710,-0.999989
5,1314118698.628947,0.001152,0.000477,-0.999994
6,1314118783.378572,-0.004702,-0.001992,-0.999985
7,1314118864.727898,-0.005128,-0.000972,-0.999985
8,1314118947.201037,-0.000493,0.003206,-0.999993
9,1314119161.628103,0.000250,-0.000379,-0.999999
10,1314119274.401153,-0.004696,0.002787,-0.999983
11,1314119708.688174,-0.045267,0.012989,-0.998890
12,1314119811.438864,-0.026389,0.010309,-0.999598
13,1314119907.789044,-0.022486,0.001706,-0.999740
14,1314120012.087550,-0.014110,0.008392,-0.999863
15,1314120109.463649,-0.009228,0.003227,-0.999952
16,1314120210.663783,-0.009156,-0.002882,-0.999952
17,1314120306.513381,-0.002012,0.006544,-0.999976
18,1314120415.863859,-0.006664,-0.004833,-0.999962
19,1314120528.787140,-0.002105,-0.001579,-0.999995
20,1314120657.162315,-0.004474,-0.005567,-0.999974
21,1314120761.662324,0.001070,0.001061,-0.999999
22,1314120856.012078,0.001539,0.006457,-0.999976
23,1314120952.937020,0.003767,-0.005756,-0.999975
24,1314121085.712076,0.001312,-0.001050,-0.999996
25,1314121204.237167,0.001913,-0.004563,-0.999982
26,1314121303.112214,0.000756,-0.004123,-0.999990
27,1314121422.687228,-0.002215,-0.001143,-0.999995
28,1314121541.637222,-0.002831,-0.003629,-0.999989
29,1314121645.612222,0.000070,0.001360,-0.999997
30,1314121743.962422,-0.006965,-0.003122,-0.999970
31,1314121857.912664,-0.001370,0.002576,-0.999995
32,1314122059.737085,-0.000753,0.000566,-0.999998
33,1314122143.737127,-0.006324,0.000592,-0.999978
34,1314122238.236722,-0.012156,-0.000447,-0.999925
35,1314122350.961821,-0.004830,0.000222,-0.999986
